pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,151,0.43708609271523186,0.02485269952298111,0.2119309968268046,0.4317880794701986,0.034678761686046874,0.21842251120928013
12,pattern_raw_cosine,151,0.3655629139072848,0.01941713707148846,0.1793878032674787,0.34481236203090504,0.024966144706028915,0.1770078991300947
12,pattern_raw_dtw,151,0.37284768211920527,0.019512620016998793,0.17894935685513846,0.36026490066225164,0.02613101259261113,0.1810056939408804
24,pattern_tsfel,151,0.45496688741721847,0.025859365021841017,0.21939457429535844,0.44326710816777043,0.03560583103017229,0.2213236479495638
24,pattern_raw_dtw,151,0.3596026490066225,0.01887522199832085,0.17485704953789627,0.3562913907284768,0.02565114844561401,0.17832056312381353
24,pattern_raw_cosine,151,0.3350993377483444,0.017023098129620478,0.16630320262649642,0.34481236203090504,0.02394524840767164,0.17054384130167594
36,pattern_tsfel,151,0.4841059602649006,0.028647984369810576,0.2446894481606142,0.47858719646799125,0.04001433009130224,0.2433684274344566
36,pattern_raw_dtw,151,0.3695364238410596,0.019086165927160195,0.18447564100461666,0.3602649006622517,0.02574602279496936,0.18350367234726686
36,pattern_raw_cosine,151,0.3629139072847682,0.017777256279475045,0.18274331156123064,0.341280353200883,0.023270008557142022,0.1785896041827365
