task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,151,0.12060325432811718,0.08061625534057153,0.10771620318912688,0.13376425775032988,0.28079470198675494,0.01115464959329181,0.12437846243174339,0.28079470198675494,0.014782032563510482
task1,raw_cosine,ndcg@10,151,0.18814104212990324,0.1504666804251803,0.16418521300961347,0.21366357954973933,0.36490066225165557,0.018742069928598528,0.1815105403039445,0.3461368653421633,0.02428843865000817
task1,raw_dtw,ndcg@10,151,0.1802498320689609,0.14591967784033388,0.15749040143566584,0.2040467681649338,0.3562913907284768,0.018731903793567574,0.17861355324121428,0.35055187637969093,0.024696561477070222
task1,raw_dtw+tsfel,ndcg@10,151,0.21236607877975613,0.171916120951997,0.18462543082478947,0.2388495546170255,0.4304635761589404,0.023716739821384364,0.20886611576753428,0.4105960264900662,0.032018611416406766
task1,tsfel,ndcg@10,151,0.21498510115963101,0.1722772166993461,0.1885531523534032,0.24334309629082318,0.44569536423841066,0.025283619041941773,0.21859204330441986,0.4406181015452538,0.03489963381879573
task2,pattern_raw_cosine,ndcg@10,151,0.16630320262649642,0.14716262397938784,0.14315275850429612,0.1899619308671227,0.3350993377483444,0.017023098129620478,0.17054384130167594,0.34481236203090504,0.02394524840767164
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,151,0.22222658997997546,0.1677180492164879,0.1949094162240318,0.2485913182987133,0.4503311258278146,0.025683125262280546,0.22148124237930267,0.4357615894039736,0.0350029179488196
task2,pattern_raw_dtw,ndcg@10,151,0.17485704953789627,0.14916559728214748,0.15157839130391434,0.19971602852747497,0.3596026490066225,0.01887522199832085,0.17832056312381353,0.3562913907284768,0.02565114844561401
task2,pattern_tsfel,ndcg@10,151,0.21939457429535844,0.16530982833402025,0.19480476075254607,0.24502749095783657,0.45496688741721847,0.025859365021841017,0.2213236479495638,0.44326710816777043,0.03560583103017229
task2,random,ndcg@10,151,0.11433837308095311,0.07943219601814994,0.10212009280993868,0.1269135745111071,0.2589403973509934,0.009655095400548243,0.12053244797096714,0.260485651214128,0.01288418423541368
task1,random,ndcg@15,151,0.12437846243174339,0.06809444409545705,0.11355489870151889,0.13560030259310363,0.28079470198675494,0.01115464959329181,0.12437846243174339,0.28079470198675494,0.014782032563510482
task1,raw_cosine,ndcg@15,151,0.1815105403039445,0.13107145557148622,0.16063733579018488,0.2030383231159105,0.36490066225165557,0.018742069928598528,0.1815105403039445,0.3461368653421633,0.02428843865000817
task1,raw_dtw,ndcg@15,151,0.17861355324121428,0.1282573420171799,0.15823641068553548,0.19968207685450895,0.3562913907284768,0.018731903793567574,0.17861355324121428,0.35055187637969093,0.024696561477070222
task1,raw_dtw+tsfel,ndcg@15,151,0.20886611576753428,0.15659521777666904,0.18336325641805726,0.2336498294970706,0.4304635761589404,0.023716739821384364,0.20886611576753428,0.4105960264900662,0.032018611416406766
task1,tsfel,ndcg@15,151,0.21859204330441986,0.16062077429044724,0.19365682851348773,0.24363666962399536,0.44569536423841066,0.025283619041941773,0.21859204330441986,0.4406181015452538,0.03489963381879573
task2,pattern_raw_cosine,ndcg@15,151,0.17054384130167594,0.1347434080276742,0.14937207722653914,0.19244118022107795,0.3350993377483444,0.017023098129620478,0.17054384130167594,0.34481236203090504,0.02394524840767164
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,151,0.22148124237930267,0.15237942197624416,0.19595562446210055,0.24529843454952302,0.4503311258278146,0.025683125262280546,0.22148124237930267,0.4357615894039736,0.0350029179488196
task2,pattern_raw_dtw,ndcg@15,151,0.17832056312381353,0.13549452946391416,0.15760982796360815,0.20072722818199507,0.3596026490066225,0.01887522199832085,0.17832056312381353,0.3562913907284768,0.02565114844561401
task2,pattern_tsfel,ndcg@15,151,0.2213236479495638,0.1541594911388937,0.19811791795565317,0.24537805810844363,0.45496688741721847,0.025859365021841017,0.2213236479495638,0.44326710816777043,0.03560583103017229
task2,random,ndcg@15,151,0.12053244797096714,0.06677725184972674,0.11042464926766031,0.13180221951284288,0.2589403973509934,0.009655095400548243,0.12053244797096714,0.260485651214128,0.01288418423541368
