comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,151,0.5920529801324503,0.018443583849916928,0.30525601126164625,0.5770419426048565,0.025777524315090224,0.29415932242541776
cosine,pattern,pattern_raw_cosine,151,0.5860927152317881,0.017951666511208518,0.292576833679699,0.5827814569536424,0.025551738827338834,0.2916413995543685
dtw,whole-series,raw_dtw,151,0.6145695364238412,0.01928452099627586,0.31308495857853536,0.6039735099337747,0.02705930902287241,0.3070293891633067
dtw,pattern,pattern_raw_dtw,151,0.609271523178808,0.018549727023478412,0.2974118120101634,0.61280353200883,0.026875359609074518,0.2939098936380447
tsfel,whole-series,tsfel,151,0.7086092715231788,0.024350267479438636,0.3645108276384957,0.7015452538631347,0.03499889212863067,0.36007871075111747
tsfel,pattern,pattern_tsfel,151,0.7317880794701986,0.025055469266503764,0.3738641810615576,0.7333333333333334,0.03684390331627249,0.371585008025751
