task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
task1,test,151,151,37878,250.8476821192053,248.0,231,296,2.7461059190031154,3601,8736,19220,6321
task2,test,151,151,37891,250.9337748344371,245.0,235,296,2.705761262568948,3614,9691,18816,5770
task2_L12,test,151,151,37728,249.8543046357616,245.0,238,278,2.6774544105173876,3451,10406,18732,5139
task2_L36,test,151,151,38000,251.65562913907286,245.0,241,292,2.652605263157895,3723,10903,18226,5148
