pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,151,0.46423841059602644,0.02689936075569576,0.2300703330523812,0.4600441501103753,0.037201655183567765,0.2345651092515299
12,pattern_raw_cosine,151,0.3556291390728477,0.017223374054886192,0.17639576531036974,0.34348785871964677,0.02272740483602512,0.17827399005983188
12,pattern_raw_dtw,151,0.3509933774834437,0.01720972100586758,0.1757617704598872,0.35055187637969093,0.023445005706758715,0.18135994237560124
24,pattern_tsfel,151,0.4609271523178808,0.02636770612814374,0.21855984426561623,0.4573951434878588,0.03725397823852201,0.22397535679979033
24,pattern_raw_cosine,151,0.3211920529801324,0.016347596519550974,0.1523177591643151,0.3183222958057395,0.022004715839812367,0.1588801978445369
24,pattern_raw_dtw,151,0.32913907284768207,0.016294517680963974,0.15127286525412123,0.32317880794701986,0.021976979631079526,0.1551156753399142
36,pattern_tsfel,151,0.45364238410596025,0.02595397585719345,0.21317144183808415,0.45165562913907287,0.03630970604396713,0.2190426193569571
36,pattern_raw_cosine,151,0.3443708609271523,0.018248707886664432,0.16555853425141837,0.33642384105960266,0.023987155294861714,0.16748618649733726
36,pattern_raw_dtw,151,0.3423841059602649,0.017171836079074097,0.16284992550661612,0.3417218543046357,0.02359385611488432,0.16655097504850438
