object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Y239::pattern0::L36,209.7817635111952,121.43557797167149,22.997903654155834,XGB,3,0,1,bin_0,bin_1
Y23::pattern0::L36,1125.8157535730652,57.116405612530976,48.784740017705644,AutoARIMA,1,1,0,bin_1,bin_0
Y240::pattern0::L36,73.93294115091408,60.635829542641964,16.728440474468698,LGBM,2,0,0,bin_0,bin_0
Y241::pattern0::L36,732.2637314027802,183.85110730673844,53.40599982987078,XGB,3,1,1,bin_1,bin_1
Y242::pattern0::L36,169.87005209770206,108.46558826818251,18.52516270294177,LGBM,2,0,1,bin_0,bin_1
Y243::pattern0::L36,1312.9760112884542,264.7284845558969,11.863037109375,AutoETS,0,1,1,bin_1,bin_1
Y244::pattern0::L36,1494.4157905845627,224.85903145684,15.47216796875,AutoETS,0,1,1,bin_1,bin_1
Y245::pattern0::L36,340.29716090028836,219.8410363953152,87.1513671875,AutoARIMA,1,1,1,bin_1,bin_1
Y246::pattern0::L36,1192.689787036161,165.84665721437182,155.0814137696441,XGB,3,1,1,bin_1,bin_1
Y247::pattern0::L36,770.3330076354439,221.19407298516845,217.8812255859375,AutoARIMA,1,1,1,bin_1,bin_1
Y248::pattern0::L36,291.24514368642065,57.18869496139825,27.32383646443259,AutoETS,0,0,0,bin_0,bin_0
Y249::pattern0::L36,83.21537080162341,13.87777534518118,9.411879185267935,AutoETS,0,0,0,bin_0,bin_0
Y24::pattern0::L36,322.0543891120128,171.13155904078502,158.61868730742572,AutoETS,0,1,1,bin_1,bin_1
Y250::pattern0::L36,16.51938720178009,16.195391580675235,3.606201171875,AutoARIMA,1,0,0,bin_0,bin_0
Y251::pattern0::L36,79.35091727120539,41.78253452485679,61.00575474330344,LGBM,2,0,0,bin_0,bin_0
Y252::pattern0::L36,47.77677391267264,5.603182956765443,7.005697318059447,LGBM,2,0,0,bin_0,bin_0
Y253::pattern0::L36,48.25405691439164,34.491006696292075,19.210951450892935,AutoETS,0,0,0,bin_0,bin_0
Y254::pattern0::L36,66.55145293916121,52.441276616180616,21.5409191785202,AutoETS,0,0,0,bin_0,bin_0
Y255::pattern0::L36,58.25862205720375,26.621303593830675,49.24354771205344,AutoARIMA,1,0,0,bin_0,bin_0
Y256::pattern0::L36,95.33700788323517,11.342718603041053,3.444937217059305,LGBM,2,0,0,bin_0,bin_0
Y257::pattern0::L36,36.040302791020736,21.063398091113,1.4034109933036234,AutoETS,0,0,0,bin_0,bin_0
Y258::pattern0::L36,41.52856459858742,25.97433696279799,22.1865234375,AutoETS,0,0,0,bin_0,bin_0
Y259::pattern0::L36,130.4944979711671,67.17419473273898,90.65621454091843,AutoARIMA,1,0,0,bin_0,bin_0
Y25::pattern0::L36,117.53519832470056,55.55032121275201,69.654052734375,AutoETS,0,0,0,bin_0,bin_0
Y260::pattern0::L36,108.74469991495869,60.74848893128191,86.07707170758931,AutoARIMA,1,0,0,bin_0,bin_0
Y261::pattern0::L36,146.6962331242488,48.680080104330926,78.53939732142862,AutoARIMA,1,0,0,bin_0,bin_0
Y262::pattern0::L36,64.72189243861612,32.95223890781912,3.353271484375,LGBM,2,0,0,bin_0,bin_0
Y263::pattern0::L36,49.38417643046944,42.19396482726596,1.9662937200869237,LGBM,2,0,0,bin_0,bin_0
Y264::pattern0::L36,31.976612020418315,21.988369506524272,23.667061941963766,AutoETS,0,0,0,bin_0,bin_0
Y265::pattern0::L36,115.7062342953883,14.19432951205976,16.189439134678196,AutoARIMA,1,0,0,bin_0,bin_0
Y266::pattern0::L36,36.23804624395848,6.616657787786405,0.1328125,AutoETS,0,0,0,bin_0,bin_0
Y267::pattern0::L36,68.7395184538359,39.95900534028397,4.74462890625,AutoETS,0,0,0,bin_0,bin_0
Y268::pattern0::L36,43.82952622685002,40.18606509024018,7.572949218750182,AutoARIMA,1,0,0,bin_0,bin_0
Y269::pattern0::L36,68.67268495774215,53.62847260426017,23.2099609375,AutoARIMA,1,0,0,bin_0,bin_0
