object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M33::pattern0::L36,627.206779797023,59.969011565024594,48.23900010850696,AutoETS,0,1,1,medium,medium
M340::pattern0::L36,1467.142361707662,208.16020936016062,48.993896484375,AutoETS,0,2,2,high,high
M341::pattern0::L36,1448.5590665675602,8.644855442970906,8.939751519097172,XGB,3,2,0,high,low
M342::pattern0::L36,789.1777690529428,38.526373890097446,1.2983805338542425,AutoETS,0,2,1,high,medium
M343::pattern0::L36,954.4189753768442,76.67179876717377,42.64073350694446,AutoARIMA,1,2,1,high,medium
M344::pattern0::L36,1585.1204108566305,37.06679387370273,20.488462910283715,LGBM,2,2,1,high,medium
M345::pattern0::L36,908.5225949484984,92.29311193583867,71.22300240684046,AutoETS,0,2,1,high,medium
M346::pattern0::L36,1364.352689250102,106.43163370999517,30.360998641953074,LGBM,2,2,2,high,high
M347::pattern0::L36,708.5274809302675,83.62517299218892,109.11827256944446,AutoARIMA,1,2,1,high,medium
M348::pattern0::L36,732.8981113345205,10.526635815476983,4.506239149305543,AutoARIMA,1,2,0,high,low
M349::pattern0::L36,595.1587819168702,137.8225359675355,23.8416748046875,AutoARIMA,1,1,2,medium,high
M34::pattern0::L36,662.6504727689021,236.57041791776945,242.53154839409729,AutoETS,0,2,2,high,high
M350::pattern0::L36,581.2721704328924,36.83642260254641,62.0717502170138,AutoETS,0,1,1,medium,medium
M351::pattern0::L36,479.9301628108523,14.812255229070601,11.833389958686894,AutoARIMA,1,1,0,medium,low
M352::pattern0::L36,1300.7975406130404,95.11754803664742,67.8054430165887,LGBM,2,2,2,high,high
M353::pattern0::L36,438.29042431271813,14.34796545135716,1.7560492621528283,AutoARIMA,1,1,0,medium,low
M354::pattern0::L36,353.91522004804943,66.61566740191348,0.8708224826388573,AutoARIMA,1,1,1,medium,medium
M355::pattern0::L36,543.8925519329516,121.66658042672596,1.2574869791666856,AutoARIMA,1,1,2,medium,high
M356::pattern0::L36,512.1719917152561,93.9322217762338,33.00905462335055,LGBM,2,1,2,medium,high
M357::pattern0::L36,577.5659546168486,21.054059529697565,5.773638345866516,AutoARIMA,1,1,0,medium,low
M358::pattern0::L36,426.2579878798312,32.802266527353744,1.52978515625,AutoARIMA,1,1,0,medium,low
M359::pattern0::L36,299.6951659654555,33.880873492948936,0.8062065972222285,AutoARIMA,1,1,1,medium,medium
M35::pattern0::L36,902.1723258314611,49.73790557236506,17.16998908973312,XGB,3,2,1,high,medium
M360::pattern0::L36,629.1922013716324,68.51026613597551,30.732720269097285,AutoARIMA,1,1,1,medium,medium
M361::pattern0::L36,523.6760726921063,35.8200497543625,70.85989040798614,AutoETS,0,1,1,medium,medium
M362::pattern0::L36,151.52816892202404,43.95516689963547,28.26334635416667,AutoARIMA,1,0,1,low,medium
M363::pattern0::L36,285.00150397986874,51.4948907160957,20.947509765625,AutoETS,0,0,1,low,medium
M364::pattern0::L36,1007.3907969389752,23.2851396414995,9.799434500692428,XGB,3,2,0,high,low
M365::pattern0::L36,656.7986175632943,39.503861051544895,24.724446614583258,AutoARIMA,1,2,1,high,medium
M366::pattern0::L36,505.2193640564291,208.38583579150458,18.587877061631957,AutoARIMA,1,1,2,medium,high
M367::pattern0::L36,435.7993503417196,81.85542135199545,186.6294216579861,AutoARIMA,1,1,1,medium,medium
M368::pattern0::L36,341.0662002419366,45.472794414540104,1.506944444444457,AutoETS,0,1,1,medium,medium
M369::pattern0::L36,310.06678447521847,26.031342474586467,23.570963541666686,AutoARIMA,1,1,0,medium,low
M36::pattern0::L36,1153.1426279421084,34.221317175040454,8.702890240655506,XGB,3,2,1,high,medium
M370::pattern0::L36,307.9311731299661,11.685266609587604,14.976533608607781,LGBM,2,1,0,medium,low
M371::pattern0::L36,236.4691107437534,5.779073144059519,5.519856770833314,AutoARIMA,1,0,0,low,low
M372::pattern0::L36,269.0352368931831,127.98244671849854,3.2476971755314707,LGBM,2,0,2,low,high
M373::pattern0::L36,263.318837458722,38.913212729467624,11.678873697916657,AutoARIMA,1,0,1,low,medium
M374::pattern0::L36,541.8178320562037,28.085810849056134,38.21508789062506,XGB,3,1,0,medium,low
M375::pattern0::L36,194.22586568058486,17.542230035247094,13.259223090277771,AutoETS,0,0,0,low,low
