task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,151,0.16830330579128597,0.09876664781337398,0.1526621024837037,0.18502570499911378,0.39602649006622515,0.013322614423818203,0.173139562161122,0.3973509933774834,0.018458798883180434
task1,raw_cosine,ndcg@10,151,0.2085526869704413,0.14431269983566225,0.18528178244099286,0.23143667831066067,0.4344370860927152,0.017136559026122152,0.20552885728947135,0.42339955849889627,0.023366957641065212
task1,raw_dtw,ndcg@10,151,0.21581047596528902,0.14577488630416915,0.194045792795884,0.24043798151058354,0.44834437086092715,0.018168438020718304,0.21388620562287314,0.4335540838852097,0.024518533127668184
task1,raw_dtw+tsfel,ndcg@10,151,0.2603771988098491,0.17309392143817448,0.232996410284138,0.2869705341055272,0.547682119205298,0.02411541361578609,0.2557801021790943,0.5253863134657837,0.033576675329480346
task1,tsfel,ndcg@10,151,0.2665347109360115,0.1871279079506994,0.23722683014896565,0.29694024792557083,0.5496688741721855,0.024684724513893253,0.2670498201024508,0.5509933774834437,0.035640240174650284
task2,pattern_raw_cosine,ndcg@10,151,0.20744313927110267,0.16226800317759602,0.18206521935365572,0.23377719787162007,0.4423841059602648,0.018605284105950727,0.20370191037597432,0.42693156732891835,0.025051828026728073
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,151,0.26303410380307396,0.17591496116901398,0.23509139557809042,0.291077139712051,0.5741721854304636,0.026694557486519464,0.26373470673303695,0.5584988962472407,0.03777481255672504
task2,pattern_raw_dtw,ndcg@10,151,0.21819311097812452,0.17411689095272087,0.19128423637951486,0.24631041394895287,0.45827814569536424,0.01934673632667818,0.217654196636502,0.44856512141280364,0.026592681819406515
task2,pattern_tsfel,ndcg@10,151,0.26303410380307396,0.17591496116901398,0.23464441737593797,0.2917590013008786,0.5741721854304636,0.026694557486519464,0.26373470673303695,0.5584988962472407,0.03777481255672504
task2,random,ndcg@10,151,0.12850202474436354,0.07435670160916115,0.11691698226492005,0.1403216060365274,0.35165562913907283,0.01101860197554642,0.1342510135889982,0.35143487858719646,0.015279460334484926
task1,random,ndcg@15,151,0.173139562161122,0.08178281008952376,0.1600621498884663,0.186624341136716,0.39602649006622515,0.013322614423818203,0.173139562161122,0.3973509933774834,0.018458798883180434
task1,raw_cosine,ndcg@15,151,0.20552885728947135,0.1250652812918429,0.18583776536953509,0.22550093468757865,0.4344370860927152,0.017136559026122152,0.20552885728947135,0.42339955849889627,0.023366957641065212
task1,raw_dtw,ndcg@15,151,0.21388620562287314,0.1308126396157096,0.19488101477070366,0.23535497419084983,0.44834437086092715,0.018168438020718304,0.21388620562287314,0.4335540838852097,0.024518533127668184
task1,raw_dtw+tsfel,ndcg@15,151,0.2557801021790943,0.15920914153704074,0.23026283515066573,0.28040385545077773,0.547682119205298,0.02411541361578609,0.2557801021790943,0.5253863134657837,0.033576675329480346
task1,tsfel,ndcg@15,151,0.2670498201024508,0.17064646900312874,0.23993262524856332,0.2951339067065203,0.5496688741721855,0.024684724513893253,0.2670498201024508,0.5509933774834437,0.035640240174650284
task2,pattern_raw_cosine,ndcg@15,151,0.20370191037597432,0.14413427612579474,0.1804399494635977,0.2268100123491828,0.4423841059602648,0.018605284105950727,0.20370191037597432,0.42693156732891835,0.025051828026728073
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,151,0.26373470673303695,0.16639117013431315,0.2363909996216287,0.2896829872627654,0.5741721854304636,0.026694557486519464,0.26373470673303695,0.5584988962472407,0.03777481255672504
task2,pattern_raw_dtw,ndcg@15,151,0.217654196636502,0.15338284803717628,0.19395550795126837,0.24308314151708457,0.45827814569536424,0.01934673632667818,0.217654196636502,0.44856512141280364,0.026592681819406515
task2,pattern_tsfel,ndcg@15,151,0.26373470673303695,0.16639117013431315,0.23736371942479983,0.29120263653888245,0.5741721854304636,0.026694557486519464,0.26373470673303695,0.5584988962472407,0.03777481255672504
task2,random,ndcg@15,151,0.1342510135889982,0.06452181814779616,0.12424952698677383,0.14490168619514274,0.35165562913907283,0.01101860197554642,0.1342510135889982,0.35143487858719646,0.015279460334484926
