comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,285,0.4080701754385965,0.012030115187568996,0.18627536510468162,0.38713450292397666,0.015834191314245436,0.17990061468405869
cosine,pattern,pattern_raw_cosine,285,0.40210526315789474,0.011826546846959402,0.16983855557640984,0.3892397660818714,0.01613635234895057,0.16872441681518408
dtw,whole-series,raw_dtw,285,0.43157894736842106,0.012309926946805199,0.19024733089418835,0.4070175438596491,0.016223725351254267,0.183331241418487
dtw,pattern,pattern_raw_dtw,285,0.3894736842105263,0.01104734053859157,0.16478548635608128,0.38339181286549706,0.01516533050744772,0.16654895169178746
tsfel,whole-series,tsfel,285,0.5357894736842105,0.01701416242069732,0.23951817201577152,0.519298245614035,0.02371402900996886,0.23604668744596474
tsfel,pattern,pattern_tsfel,285,0.5178947368421053,0.01642654927477591,0.2172862932568251,0.5054970760233918,0.023087067873629644,0.21944077314820737
