approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,285,0.2807017543859649,0.005723701768039502,0.10306648785676696,0.2762573099415204,0.007614339647895796,0.10593013042958382
best_content_baseline,pattern_tsfel,285,0.5178947368421053,0.01642654927477591,0.2172862932568251,0.5054970760233918,0.023087067873629644,0.21944077314820737
