pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,129,0.424031007751938,0.026154487110759902,0.19670461110735296,0.41033591731266145,0.03540785996387165,0.1999810998254934
12,pattern_raw_cosine,129,0.3441860465116279,0.019989138845703722,0.14267995608840597,0.337984496124031,0.02709652819994482,0.14943879350004927
12,pattern_raw_dtw,129,0.3248062015503876,0.01850663261162172,0.13999493215400807,0.3266149870801034,0.025207794773671185,0.14751020618737484
24,pattern_tsfel,129,0.41550387596899224,0.02534777490078218,0.18400828832297567,0.4015503875968992,0.03468576281802604,0.18867337224317646
24,pattern_raw_cosine,129,0.33488372093023255,0.019104283320209747,0.1484359066388521,0.32299741602067183,0.025389529667711425,0.15454018454418206
24,pattern_raw_dtw,129,0.3317829457364341,0.01897775822688983,0.14681819488704903,0.3348837209302325,0.02597440166495896,0.15796650374484933
36,pattern_tsfel,129,0.462015503875969,0.030234565506835103,0.21639080990573864,0.4599483204134367,0.042395743288021655,0.2254051383853183
36,pattern_raw_cosine,129,0.3844961240310078,0.02353492402196867,0.19346150029292097,0.36537467700258397,0.031123131929846868,0.19253474854324493
36,pattern_raw_dtw,129,0.3821705426356589,0.023065076449671186,0.18352224691283814,0.3746770025839793,0.031073999501677933,0.19015240021660423
