comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,129,0.32713178294573647,0.016992536952287852,0.14710106057995373,0.3224806201550387,0.023321229486741087,0.15315470369466572
cosine,pattern,pattern_raw_cosine,129,0.33488372093023255,0.019104283320209747,0.1484359066388521,0.32299741602067183,0.025389529667711425,0.15454018454418206
dtw,whole-series,raw_dtw,129,0.3325581395348838,0.01776390059084125,0.1548069931129499,0.3317829457364341,0.02414356554850348,0.1595008258264642
dtw,pattern,pattern_raw_dtw,129,0.3317829457364341,0.01897775822688983,0.14681819488704903,0.3348837209302325,0.02597440166495896,0.15796650374484933
tsfel,whole-series,tsfel,129,0.4217054263565892,0.026118687233069714,0.19468142303612673,0.42377260981912146,0.036919865687235674,0.2055259552791489
tsfel,pattern,pattern_tsfel,129,0.41550387596899224,0.02534777490078218,0.18400828832297567,0.4015503875968992,0.03468576281802604,0.18867337224317646
