task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,129,0.23862869803821368,0.11403702917374249,0.22074562388980118,0.2587350464341324,0.5465116279069767,0.017168334859568885,0.2414666337233759,0.5483204134366925,0.02461240566930705
task1,raw_cosine,ndcg@10,129,0.32393587673500734,0.17744729795351022,0.29299603480989017,0.35408719146206263,0.6302325581395348,0.023365783739636936,0.31595346032843896,0.6155038759689923,0.03289930299590464
task1,raw_dtw,ndcg@10,129,0.3300999136858299,0.17826559443493595,0.29995796837082045,0.3625901481143964,0.6255813953488372,0.02362275206608533,0.31984014987331927,0.6129198966408268,0.03316909255648858
task1,raw_dtw+tsfel,ndcg@10,129,0.367204526983203,0.16527199628398312,0.33988490110661823,0.39621559478984136,0.72015503875969,0.028392155449962795,0.3582852554846355,0.704392764857881,0.04042344259892062
task1,tsfel,ndcg@10,129,0.36779847474367205,0.17251085019586157,0.3388274408135259,0.39836223939892207,0.7356589147286822,0.029861798652514617,0.36379714202998753,0.7209302325581395,0.04262464708493064
task2,pattern_raw_cosine,ndcg@10,129,0.2999015111990644,0.1627237451522763,0.2726268519081456,0.3297493443309703,0.5899224806201551,0.021270328230982086,0.2980671922819356,0.59328165374677,0.030518518066166973
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,129,0.3560419336836018,0.16442250766778257,0.32785306296851546,0.38464648791805794,0.6837209302325581,0.026554259306769575,0.3477077495039148,0.6677002583979329,0.037694805929868416
task2,pattern_raw_dtw,ndcg@10,129,0.3155157376015612,0.1812656458775275,0.2841106209707467,0.3465966401668366,0.6031007751937986,0.022164781437677947,0.30397365566520373,0.5968992248062015,0.031149842992638593
task2,pattern_tsfel,ndcg@10,129,0.3564408826049116,0.1652961344405408,0.32999740115817366,0.38447642921209707,0.6930232558139535,0.026990667339639174,0.3511490156825838,0.6837209302325582,0.03881220496343595
task2,random,ndcg@10,129,0.23333561193918934,0.10408108644998643,0.21542911852755875,0.2520994852732034,0.5542635658914727,0.01854164999057517,0.23288500791106168,0.5395348837209302,0.025487064302101032
task1,random,ndcg@15,129,0.2414666337233759,0.09074657187601053,0.22723450449451935,0.25779706046154277,0.5465116279069767,0.017168334859568885,0.2414666337233759,0.5483204134366925,0.02461240566930705
task1,raw_cosine,ndcg@15,129,0.31595346032843896,0.15809897161066044,0.2890064179834759,0.3429876780969919,0.6302325581395348,0.023365783739636936,0.31595346032843896,0.6155038759689923,0.03289930299590464
task1,raw_dtw,ndcg@15,129,0.31984014987331927,0.15890588061180166,0.29284753590309964,0.34841023107335667,0.6255813953488372,0.02362275206608533,0.31984014987331927,0.6129198966408268,0.03316909255648858
task1,raw_dtw+tsfel,ndcg@15,129,0.3582852554846355,0.1459663644325488,0.33375142811505354,0.3835678818494427,0.72015503875969,0.028392155449962795,0.3582852554846355,0.704392764857881,0.04042344259892062
task1,tsfel,ndcg@15,129,0.36379714202998753,0.1576150587173003,0.3366919439959006,0.3911690989076891,0.7356589147286822,0.029861798652514617,0.36379714202998753,0.7209302325581395,0.04262464708493064
task2,pattern_raw_cosine,ndcg@15,129,0.2980671922819356,0.146572683687733,0.272951282378211,0.32514781872773413,0.5899224806201551,0.021270328230982086,0.2980671922819356,0.59328165374677,0.030518518066166973
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,129,0.3477077495039148,0.14800377965731173,0.3217620424708376,0.3727040718753412,0.6837209302325581,0.026554259306769575,0.3477077495039148,0.6677002583979329,0.037694805929868416
task2,pattern_raw_dtw,ndcg@15,129,0.30397365566520373,0.15622906164705316,0.27692317991857585,0.33066792457590827,0.6031007751937986,0.022164781437677947,0.30397365566520373,0.5968992248062015,0.031149842992638593
task2,pattern_tsfel,ndcg@15,129,0.3511490156825838,0.1486013770738797,0.32696284905876954,0.375513589011421,0.6930232558139535,0.026990667339639174,0.3511490156825838,0.6837209302325582,0.03881220496343595
task2,random,ndcg@15,129,0.23288500791106168,0.08751519459455503,0.21855005620928308,0.24831880867232733,0.5542635658914727,0.01854164999057517,0.23288500791106168,0.5395348837209302,0.025487064302101032
