pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,285,0.7992982456140352,0.015351894268192624,0.4069966211917206,0.7936842105263158,0.02252141148007619,0.4006837016223209
12,pattern_raw_cosine,285,0.672280701754386,0.011552294845066887,0.3272001816871228,0.6573099415204677,0.016448023115384475,0.31799825384250013
12,pattern_raw_dtw,285,0.6673684210526315,0.011522954259366966,0.321943780237014,0.6633918128654971,0.016624328222931015,0.3198931225402443
24,pattern_tsfel,285,0.8080701754385965,0.015219934090568219,0.40169663499777575,0.7992982456140352,0.0223132562760014,0.3950354303672544
24,pattern_raw_cosine,285,0.6919298245614036,0.012200835914432934,0.3291958864361846,0.6792982456140351,0.017485818253184692,0.3216181776238834
24,pattern_raw_dtw,285,0.6814035087719298,0.011738335287642829,0.3253033604169463,0.6783625730994152,0.01703607299327928,0.3231657992127793
36,pattern_tsfel,285,0.787719298245614,0.014864985779667867,0.37704539907773477,0.783391812865497,0.02180588422260658,0.37278698357530415
36,pattern_raw_cosine,285,0.6915789473684211,0.012243711404536655,0.3263038309619448,0.6788304093567252,0.017614875410753867,0.31970036635323174
36,pattern_raw_dtw,285,0.6792982456140351,0.011665537710595352,0.32111072428133486,0.67953216374269,0.017103087214550103,0.31887724115768656
