comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,151,0.41589403973509936,0.01729498851242608,0.2088620793228491,0.40618101545253865,0.023113208354116056,0.20152967221365245
cosine,pattern,pattern_raw_cosine,151,0.4086092715231789,0.016600700525607946,0.1941551956246306,0.4128035320088301,0.02314299476062613,0.19827648673685008
dtw,whole-series,raw_dtw,151,0.45165562913907276,0.018535635833851257,0.20867708417944125,0.4432671081677704,0.025032478655935227,0.2083684392483151
dtw,pattern,pattern_raw_dtw,151,0.43841059602649,0.017769738186284276,0.20106670934426604,0.43222958057395144,0.02459205375396287,0.19945640753667118
tsfel,whole-series,tsfel,151,0.5463576158940397,0.024994188296608013,0.2629763349009077,0.5271523178807946,0.034439166735731386,0.26025940406635756
tsfel,pattern,pattern_tsfel,151,0.5701986754966887,0.026216468864465783,0.2673094784386866,0.5779249448123621,0.038288459347161366,0.2724546947004991
