object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Q100::pattern0::L36,364.9973065416028,174.13063771689036,7.788697417573189,LGBM,2,1,2,medium,high
Q101::pattern0::L36,748.9524615107398,80.4750757662328,14.704802394541048,LGBM,2,2,1,high,medium
Q102::pattern0::L36,683.5295449336459,34.67302277814784,14.83404541015625,AutoETS,0,2,0,high,low
Q103::pattern0::L36,410.39833507502715,124.20532123367185,69.04316940167121,XGB,3,1,1,medium,medium
Q104::pattern0::L36,688.6103363737266,169.13231261963406,68.568603515625,AutoARIMA,1,2,2,high,high
Q105::pattern0::L36,372.25933975368264,194.16134341955762,30.87424682023044,LGBM,2,1,2,medium,high
Q106::pattern0::L36,725.5726320307369,83.0494468647105,14.22344970703125,AutoARIMA,1,2,1,high,medium
Q107::pattern0::L36,554.631204240557,45.88496565886137,0.2478270807403078,LGBM,2,1,0,medium,low
Q108::pattern0::L36,608.202729706805,46.138895499039144,6.419696407154788,LGBM,2,2,0,high,low
Q109::pattern0::L36,263.5601042979697,25.887078455933203,1.8320620561682972,LGBM,2,1,0,medium,low
Q10::pattern0::L36,259.19475391404694,166.726195410838,13.274767609312676,XGB,3,0,2,low,high
Q110::pattern0::L36,477.918679455754,185.0218532742448,37.6922607421875,XGB,3,1,2,medium,high
Q111::pattern0::L36,869.4918500803607,60.57998350971864,95.5703002929688,AutoETS,0,2,1,high,medium
Q112::pattern0::L36,467.9020655047178,66.65853431449207,2.344130559253699,LGBM,2,1,1,medium,medium
Q113::pattern0::L36,464.6360704263376,30.894579807942257,64.31118844363175,AutoETS,0,1,0,medium,low
Q114::pattern0::L36,343.2993012089245,108.21511549686844,4.121716554447744,XGB,3,1,1,medium,medium
Q115::pattern0::L36,163.97162361950964,30.62607404332454,2.080671724132003,AutoETS,0,0,0,low,low
Q116::pattern0::L36,786.3299162664866,54.267238982714446,12.936682590303235,LGBM,2,2,0,high,low
