approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,151,0.3536423841059602,0.011169313412039625,0.1447973074271194,0.3523178807947019,0.015387554322649941,0.14755498815895354
best_content_baseline,pattern_raw_cosine+pattern_tsfel,151,0.566887417218543,0.026410446089163337,0.2713019033237863,0.5660044150110375,0.03788474810930954,0.27165458855783015
