approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,151,0.2503311258278145,0.009465297172157107,0.09249155724931415,0.25783664459161143,0.012854604770907224,0.10252896046715042
best_content_baseline,pattern_tsfel,151,0.4403973509933774,0.025453929202865617,0.19661212708334125,0.4384105960264901,0.0358079324254654,0.20270755131368406
