experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
exp1_pattern_main,pattern_tsfel,151,0.4403973509933774,0.025453929202865617,0.19661212708334125,0.4384105960264901,0.0358079324254654,0.20270755131368406
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,151,0.4403973509933774,0.025453929202865617,0.19661212708334125,0.4384105960264901,0.0358079324254654,0.20270755131368406
exp1_pattern_main,pattern_raw_dtw,151,0.3443708609271523,0.017943819372799232,0.17019359641033058,0.3275938189845475,0.023502994672735707,0.16983047915174446
exp1_pattern_main,pattern_raw_cosine,151,0.3423841059602649,0.016838177693461725,0.16268774206296802,0.32406181015452534,0.021986500450789558,0.1614755343810669
exp1_pattern_main,random,151,0.2503311258278145,0.009465297172157107,0.09249155724931415,0.25783664459161143,0.012854604770907224,0.10252896046715042
