task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,129,0.14562590436060477,0.09210502356023036,0.13024849939955,0.16171342011616702,0.3744186046511628,0.014132265139075367,0.15072436784816146,0.3715762273901809,0.019486703344845698
task1,raw_cosine,ndcg@10,129,0.21147726498592334,0.1492523696123776,0.18630228888582634,0.2383731903105139,0.4573643410852713,0.021864324579845704,0.20864361327188713,0.44909560723514214,0.030233001785061536
task1,raw_dtw,ndcg@10,129,0.214635979333707,0.15793436381247974,0.1886508964702272,0.24157201540958453,0.4736434108527131,0.023941221350586437,0.2156511760022504,0.4656330749354005,0.03282133747795335
task1,raw_dtw+tsfel,ndcg@10,129,0.24261369890979062,0.1491481847115282,0.21873745848254528,0.2672148396477481,0.5418604651162792,0.02796177807728163,0.2423462123953589,0.5276485788113696,0.03891588964161653
task1,tsfel,ndcg@10,129,0.23324725254205497,0.14011360000155051,0.20955133309125276,0.25817166978910705,0.5395348837209302,0.02809983108716157,0.23995485748200793,0.5369509043927649,0.03965078700564956
task2,pattern_raw_cosine,ndcg@10,129,0.2016612886362164,0.1419733497783282,0.1785259280153318,0.2262534806923101,0.42480620155038756,0.02074468031102078,0.20232308544118296,0.41498708010335916,0.028158259078540936
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,129,0.25298651765004154,0.15382940914281368,0.22607822980452807,0.2803082543088702,0.5294573643410853,0.027833486948766903,0.25088413044213065,0.5059431524547805,0.03781049018944335
task2,pattern_raw_dtw,ndcg@10,129,0.20242402241452956,0.15545322242628234,0.1755237492333991,0.22901572994395025,0.4248062015503876,0.021139325788445355,0.20452761864686536,0.4227390180878553,0.02917156197519732
task2,pattern_tsfel,ndcg@10,129,0.24558253700002558,0.14473577169296592,0.2218800338423945,0.27084058285225554,0.5240310077519379,0.027032082124917634,0.24767460736323335,0.5100775193798449,0.037198054155264386
task2,random,ndcg@10,129,0.13436021099169576,0.07228574558761951,0.12236200375236343,0.14686768994385255,0.37364341085271313,0.01414639127171781,0.1438719179315243,0.3715762273901809,0.019478070459794324
task1,random,ndcg@15,129,0.15072436784816146,0.0776810656400971,0.13772446899261961,0.16429319080222543,0.3744186046511628,0.014132265139075367,0.15072436784816146,0.3715762273901809,0.019486703344845698
task1,raw_cosine,ndcg@15,129,0.20864361327188713,0.13095134699999195,0.18600438743900058,0.231731588638996,0.4573643410852713,0.021864324579845704,0.20864361327188713,0.44909560723514214,0.030233001785061536
task1,raw_dtw,ndcg@15,129,0.2156511760022504,0.13970347205762096,0.1932442721804311,0.23938471357675667,0.4736434108527131,0.023941221350586437,0.2156511760022504,0.4656330749354005,0.03282133747795335
task1,raw_dtw+tsfel,ndcg@15,129,0.2423462123953589,0.13297290055474886,0.2200623738430356,0.26519116641242496,0.5418604651162792,0.02796177807728163,0.2423462123953589,0.5276485788113696,0.03891588964161653
task1,tsfel,ndcg@15,129,0.23995485748200793,0.13242336458734483,0.21793326515514674,0.2642223893507091,0.5395348837209302,0.02809983108716157,0.23995485748200793,0.5369509043927649,0.03965078700564956
task2,pattern_raw_cosine,ndcg@15,129,0.20232308544118296,0.12977049087052597,0.18106329824209536,0.22536889666661408,0.42480620155038756,0.02074468031102078,0.20232308544118296,0.41498708010335916,0.028158259078540936
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,129,0.25088413044213065,0.13903775358283904,0.2265921595633032,0.27516838277321903,0.5294573643410853,0.027833486948766903,0.25088413044213065,0.5059431524547805,0.03781049018944335
task2,pattern_raw_dtw,ndcg@15,129,0.20452761864686536,0.13871347792331332,0.1797997465264392,0.22826173554031426,0.4248062015503876,0.021139325788445355,0.20452761864686536,0.4227390180878553,0.02917156197519732
task2,pattern_tsfel,ndcg@15,129,0.24767460736323335,0.1304292581833313,0.22589892511295126,0.2703625447256946,0.5240310077519379,0.027032082124917634,0.24767460736323335,0.5100775193798449,0.037198054155264386
task2,random,ndcg@15,129,0.1438719179315243,0.06479394182311764,0.1327755001370762,0.15515014590416792,0.37364341085271313,0.01414639127171781,0.1438719179315243,0.3715762273901809,0.019478070459794324
