experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,129,0.5294573643410853,0.027833486948766903,0.25298651765004154,0.5059431524547805,0.03781049018944335,0.25088413044213065
exp1_pattern_main,pattern_tsfel,129,0.5240310077519379,0.027032082124917634,0.24558253700002558,0.5100775193798449,0.037198054155264386,0.24767460736323335
exp1_pattern_main,pattern_raw_dtw,129,0.4248062015503876,0.021139325788445355,0.20242402241452956,0.4227390180878553,0.02917156197519732,0.20452761864686536
exp1_pattern_main,pattern_raw_cosine,129,0.42480620155038756,0.02074468031102078,0.2016612886362164,0.41498708010335916,0.028158259078540936,0.20232308544118296
exp1_pattern_main,random,129,0.37364341085271313,0.01414639127171781,0.13436021099169576,0.3715762273901809,0.019478070459794324,0.1438719179315243
