run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15,comparison,approach
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,151,0.7410596026490066,0.025494058297124502,0.3839035268901191,0.7315673289183223,0.03679844616942872,0.3765791341818345,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,151,0.6490066225165563,0.021331210425130313,0.3385820524192684,0.644150110375276,0.03068132763696329,0.33182696513892207,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,151,0.5980132450331126,0.018874982961209562,0.3154479009386773,0.6066225165562914,0.027532798379783247,0.31442708261931146,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,151,0.7675496688741722,0.026930941363478334,0.40630700713506984,0.7629139072847682,0.039304745087580785,0.4018110559714336,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,151,0.6490066225165563,0.020986539700526434,0.328087833529583,0.6437086092715231,0.03032752275728026,0.324220263255947,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,151,0.6463576158940398,0.020694345023174413,0.32763672629942087,0.6331125827814569,0.0295146317775566,0.3227375283403104,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_tsfel,151,0.7324503311258278,0.025185865057854608,0.34728545801211175,0.7209713024282561,0.03639558771568113,0.34707476494337625,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,151,0.7324503311258278,0.025185865057854608,0.34728545801211175,0.7209713024282561,0.03639558771568113,0.34707476494337625,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_dtw,151,0.6238410596026489,0.019776601608616568,0.3040311739508287,0.6176600441501103,0.02816878575148147,0.29698292716629443,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_cosine,151,0.613907284768212,0.019283312167091365,0.29322580039032337,0.5991169977924945,0.02702320128078745,0.2859926769048483,,
