run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,tsfel,ndcg@15,151,0.3761614043694684,0.1944156116374508,0.344704140407054,0.4068146489399367,0.7092715231788081,0.0243292605558089,0.3761614043694684,0.713907284768212,0.0358846585956
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_cosine,ndcg@15,151,0.3144270826193114,0.173566227144348,0.2882100714982791,0.341021193103222,0.5980132450331126,0.0188749829612095,0.3144270826193114,0.6066225165562914,0.0275327983797832
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,151,0.3765791341818345,0.1707411704317366,0.3482548566527043,0.4026028916360817,0.7410596026490066,0.0254940582971245,0.3765791341818345,0.7315673289183223,0.0367984461694287
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_dtw,ndcg@15,151,0.331826965138922,0.1798977412986716,0.3042341190794666,0.3606174349589555,0.6490066225165563,0.0213312104251303,0.331826965138922,0.644150110375276,0.0306813276369632
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_tsfel,ndcg@15,151,0.3765791341818345,0.1707411704317366,0.3499745152233923,0.4030099970064677,0.7410596026490066,0.0254940582971245,0.3765791341818345,0.7315673289183223,0.0367984461694287
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,random,ndcg@15,151,0.2472296065481607,0.0956169531618382,0.2323466240706055,0.2628786091808706,0.5503311258278146,0.0148339042796823,0.2472296065481607,0.5523178807947019,0.0213969719804131
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,random,ndcg@10,151,0.2614093167204044,0.1229715043665133,0.2426333513321486,0.2799527046169968,0.5668874172185431,0.0156448766536766,0.2628275294680587,0.566887417218543,0.022289761406283
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_cosine,ndcg@10,151,0.3215064254944999,0.1588005239594009,0.2960076380013849,0.3465675177826225,0.6298013245033112,0.0194427720055876,0.3109009837094,0.6088300220750552,0.0270601089871939
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_dtw,ndcg@10,151,0.3226823202704518,0.1616410305991008,0.2979605601131534,0.3479412331090225,0.6403973509933774,0.01998149217927,0.3136350532704001,0.6233995584988962,0.027922387832619
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_dtw+tsfel,ndcg@10,151,0.4026981845674259,0.2064135951052621,0.3701524412031639,0.4347514289401589,0.7443708609271523,0.0258636744198522,0.3922686236212374,0.7262693156732892,0.0369558888811795
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,tsfel,ndcg@10,151,0.3944842569030779,0.2009244119670789,0.3633978055542757,0.4284718985862937,0.7397350993377484,0.0253757803984936,0.3923332621658128,0.7386313465783665,0.0372693991046718
