run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,qrels_rows,n_queries_with_positive_qrels,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2_L12,test,25466,151,168.64900662251657,169.0,153,186,2.509659938741852
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2_L36,test,25385,151,168.11258278145695,166.0,156,189,2.535276738231239
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2,test,25419,151,168.33774834437085,167.0,158,190,2.5579684487981433
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task1,test,19384,151,128.3708609271523,129.0,113,145,2.4988134543953775
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2_L12,test,18963,151,125.58278145695364,124.0,116,138,2.467752992669936
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2_L36,test,18949,151,125.49006622516556,125.0,115,141,2.485935933294633
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2,test,18912,151,125.24503311258277,123.0,115,146,2.4996827411167515
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task1,test,19248,151,127.47019867549669,126.0,115,149,2.4881546134663344
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task2_L12,test,18855,151,124.86754966887418,125.0,113,140,2.454998674091753
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task2_L36,test,19004,151,125.8543046357616,125.0,115,142,2.4575878762365817
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task2,test,18804,151,124.52980132450331,123.0,117,142,2.467134652201659
freqquarterly__bins4__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,8,42,1,full,task1,test,19261,151,127.55629139072848,126.0,114,142,2.454753128082654
freqquarterly__bins4__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,8,42,1,full,task2_L12,test,18855,151,124.86754966887418,125.0,113,140,2.454998674091753
freqquarterly__bins4__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,8,42,1,full,task2_L36,test,18933,151,125.3841059602649,125.0,117,139,2.4418739766545188
freqquarterly__bins4__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,8,42,1,full,task2,test,18976,151,125.66887417218543,125.0,116,142,2.4688026981450255
