approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,129,0.37751937984496114,0.014742988390489738,0.14511452735992605,0.3803617571059431,0.020550083376470796,0.15248311197423997
best_content_baseline,pattern_tsfel,129,0.5519379844961241,0.02895972126221211,0.2517061013067619,0.5400516795865633,0.040760974314036996,0.2539970206436546
