comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,129,0.4217054263565891,0.019004489999618346,0.18552615061756758,0.4160206718346253,0.026349092602158827,0.18929620636898384
cosine,pattern,pattern_raw_cosine,129,0.4410852713178294,0.020323274554758602,0.19393720298558587,0.44031007751937984,0.028813161641782645,0.19897464341930218
dtw,whole-series,raw_dtw,129,0.4496124031007752,0.020671404021142478,0.18950910543614619,0.44547803617571063,0.028750395888125096,0.19611754149786265
dtw,pattern,pattern_raw_dtw,129,0.44573643410852715,0.021328100414644422,0.20466539978158818,0.4273901808785529,0.02877757441557912,0.2017517149429486
tsfel,whole-series,tsfel,129,0.5271317829457365,0.028006427794737238,0.24485554086211395,0.5276485788113695,0.039320495129155725,0.24796423461998887
tsfel,pattern,pattern_tsfel,129,0.5519379844961241,0.02895972126221211,0.2517061013067619,0.5400516795865633,0.040760974314036996,0.2539970206436546
