approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,285,0.5617543859649122,0.008058075470709542,0.23218483172314183,0.5614035087719298,0.011574570712581611,0.23428257414579295
best_content_baseline,pattern_tsfel,285,0.8024561403508772,0.015429077116253843,0.39093443930641397,0.7976608187134503,0.022603303084545178,0.3871760037750935
