comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,129,0.351937984496124,0.021136738781652932,0.17059878616693347,0.3395348837209302,0.028250778536162858,0.17241150063129515
cosine,pattern,pattern_raw_cosine,129,0.3364341085271318,0.020261788487970254,0.1540832918534003,0.3297157622739018,0.02720343279297986,0.16172716131476966
dtw,whole-series,raw_dtw,129,0.3666666666666667,0.023697955743488153,0.17310185712524667,0.3498708010335918,0.03091635813329303,0.1751894993956159
dtw,pattern,pattern_raw_dtw,129,0.3341085271317829,0.02051340067757495,0.15586564054349533,0.3322997416020672,0.027641957868912728,0.1636867312267302
tsfel,whole-series,tsfel,129,0.41550387596899224,0.0262703033203643,0.18473354899785996,0.41188630490956074,0.03619171488792684,0.196581601330653
tsfel,pattern,pattern_tsfel,129,0.4108527131782946,0.025108410188389097,0.1808831997393563,0.4015503875968992,0.03416114930783823,0.1912441854231534
