run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,qrels_rows,n_queries_with_positive_qrels,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task2_L36,test,18769,129,145.49612403100775,145.0,131,162,2.5373754595343385
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task2,test,18430,129,142.86821705426357,143.0,134,164,2.532067281606077
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task1,test,14009,129,108.59689922480621,107.0,99,127,2.462202869583839
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2_L12,test,13776,129,106.79069767441861,105.0,99,121,2.436048199767712
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2_L36,test,14108,129,109.36434108527132,109.0,97,127,2.5099234476892542
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2,test,13968,129,108.27906976744185,107.0,98,123,2.4728665521191293
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task1,test,13964,129,108.24806201550388,108.0,98,122,2.474362646806073
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2_L12,test,13783,129,106.84496124031008,106.0,99,120,2.4110861205833274
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2_L36,test,14078,129,109.13178294573643,109.0,98,128,2.4980110811194773
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2,test,13869,129,107.51162790697674,106.0,98,121,2.440911385103468
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task1,test,13844,129,107.31782945736434,107.0,99,117,2.462077434267553
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2_L12,test,13783,129,106.84496124031008,106.0,99,120,2.4110861205833274
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2_L36,test,13973,129,108.31782945736434,107.0,97,120,2.5031847133757963
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2,test,13778,129,106.8062015503876,106.0,99,121,2.4629118885179273
