experiment,system,comparison,approach,pattern_len,frequency,qrels_n_bins,forecast_h,patterns_per_series,regime_definition,ndcg@10_mean,ndcg@10_std,ndcg@10_min,ndcg@10_max,ndcg@10_count,ap@10_mean,ap@10_std,ap@10_min,ap@10_max,ap@10_count,p@10_mean,p@10_std,p@10_min,p@10_max,p@10_count,ndcg@15_mean,ndcg@15_std,ndcg@15_min,ndcg@15_max,ndcg@15_count,ap@15_mean,ap@15_std,ap@15_min,ap@15_max,ap@15_count,p@15_mean,p@15_std,p@15_min,p@15_max,p@15_count
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,2,2,1,full,0.30531001812948344,,0.30531001812948344,0.30531001812948344,1,0.022118080335403252,,0.022118080335403252,0.022118080335403252,1,0.6201550387596899,,0.6201550387596899,0.6201550387596899,1,0.3030072938525487,,0.3030072938525487,0.3030072938525487,1,0.0318062560090627,,0.0318062560090627,0.0318062560090627,1,0.6149870801033591,,0.6149870801033591,0.6149870801033591,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,2,4,1,full,0.28871587179090535,,0.28871587179090535,0.28871587179090535,1,0.02082206302167764,,0.02082206302167764,0.02082206302167764,1,0.5968992248062015,,0.5968992248062015,0.5968992248062015,1,0.2887257797787122,,0.2887257797787122,0.2887257797787122,1,0.030429107019532088,,0.030429107019532088,0.030429107019532088,1,0.6036175710594316,,0.6036175710594316,0.6036175710594316,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,2,6,1,full,0.2999015111990644,,0.2999015111990644,0.2999015111990644,1,0.021270328230982086,,0.021270328230982086,0.021270328230982086,1,0.5899224806201551,,0.5899224806201551,0.5899224806201551,1,0.2980671922819356,,0.2980671922819356,0.2980671922819356,1,0.030518518066166973,,0.030518518066166973,0.030518518066166973,1,0.59328165374677,,0.59328165374677,0.59328165374677,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,3,2,1,full,0.18598693227057103,,0.18598693227057103,0.18598693227057103,1,0.019226412463247432,,0.019226412463247432,0.019226412463247432,1,0.42015503875968996,,0.42015503875968996,0.42015503875968996,1,0.18940732211973763,,0.18940732211973763,0.18940732211973763,1,0.02682830816523263,,0.02682830816523263,0.02682830816523263,1,0.4180878552971576,,0.4180878552971576,0.4180878552971576,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,3,4,1,full,0.19393720298558587,,0.19393720298558587,0.19393720298558587,1,0.020323274554758602,,0.020323274554758602,0.020323274554758602,1,0.4410852713178294,,0.4410852713178294,0.4410852713178294,1,0.19897464341930218,,0.19897464341930218,0.19897464341930218,1,0.028813161641782645,,0.028813161641782645,0.028813161641782645,1,0.44031007751937984,,0.44031007751937984,0.44031007751937984,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,3,6,1,full,0.2016612886362164,,0.2016612886362164,0.2016612886362164,1,0.02074468031102078,,0.02074468031102078,0.02074468031102078,1,0.42480620155038756,,0.42480620155038756,0.42480620155038756,1,0.20232308544118296,,0.20232308544118296,0.20232308544118296,1,0.028158259078540936,,0.028158259078540936,0.028158259078540936,1,0.41498708010335916,,0.41498708010335916,0.41498708010335916,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,4,2,1,full,0.1484359066388521,,0.1484359066388521,0.1484359066388521,1,0.019104283320209747,,0.019104283320209747,0.019104283320209747,1,0.33488372093023255,,0.33488372093023255,0.33488372093023255,1,0.15454018454418206,,0.15454018454418206,0.15454018454418206,1,0.025389529667711425,,0.025389529667711425,0.025389529667711425,1,0.32299741602067183,,0.32299741602067183,0.32299741602067183,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,4,4,1,full,0.1484690536752363,,0.1484690536752363,0.1484690536752363,1,0.01844203418678955,,0.01844203418678955,0.01844203418678955,1,0.32945736434108525,,0.32945736434108525,0.32945736434108525,1,0.16144776530702232,,0.16144776530702232,0.16144776530702232,1,0.02610809335164312,,0.02610809335164312,0.02610809335164312,1,0.3426356589147287,,0.3426356589147287,0.3426356589147287,1
exp1_pattern_main,pattern_raw_cosine,,,24,yearly,4,6,1,full,0.1540832918534003,,0.1540832918534003,0.1540832918534003,1,0.020261788487970254,,0.020261788487970254,0.020261788487970254,1,0.3364341085271318,,0.3364341085271318,0.3364341085271318,1,0.16172716131476966,,0.16172716131476966,0.16172716131476966,1,0.02720343279297986,,0.02720343279297986,0.02720343279297986,1,0.3297157622739018,,0.3297157622739018,0.3297157622739018,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,2,2,1,full,0.33913352713265044,,0.33913352713265044,0.33913352713265044,1,0.02592178928356814,,0.02592178928356814,0.02592178928356814,1,0.6798449612403101,,0.6798449612403101,0.6798449612403101,1,0.3361316636162458,,0.3361316636162458,0.3361316636162458,1,0.03763033706800962,,0.03763033706800962,0.03763033706800962,1,0.6770025839793282,,0.6770025839793282,0.6770025839793282,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,2,4,1,full,0.3463463660314605,,0.3463463660314605,0.3463463660314605,1,0.027135238702659985,,0.027135238702659985,0.027135238702659985,1,0.7015503875968992,,0.7015503875968992,0.7015503875968992,1,0.3414292326266259,,0.3414292326266259,0.3414292326266259,1,0.03911934772812755,,0.03911934772812755,0.03911934772812755,1,0.6956072351421188,,0.6956072351421188,0.6956072351421188,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,2,6,1,full,0.3560419336836018,,0.3560419336836018,0.3560419336836018,1,0.026554259306769575,,0.026554259306769575,0.026554259306769575,1,0.6837209302325581,,0.6837209302325581,0.6837209302325581,1,0.3477077495039148,,0.3477077495039148,0.3477077495039148,1,0.037694805929868416,,0.037694805929868416,0.037694805929868416,1,0.6677002583979329,,0.6677002583979329,0.6677002583979329,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,3,2,1,full,0.24894650752444894,,0.24894650752444894,0.24894650752444894,1,0.02722208375533497,,0.02722208375533497,0.02722208375533497,1,0.5286821705426356,,0.5286821705426356,0.5286821705426356,1,0.2518215551552877,,0.2518215551552877,0.2518215551552877,1,0.038374145040112335,,0.038374145040112335,0.038374145040112335,1,0.5219638242894057,,0.5219638242894057,0.5219638242894057,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,3,4,1,full,0.24862204000133145,,0.24862204000133145,0.24862204000133145,1,0.0289019286390835,,0.0289019286390835,0.0289019286390835,1,0.5519379844961241,,0.5519379844961241,0.5519379844961241,1,0.2503018886266497,,0.2503018886266497,0.2503018886266497,1,0.040471589949476264,,0.040471589949476264,0.040471589949476264,1,0.5364341085271318,,0.5364341085271318,0.5364341085271318,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,3,6,1,full,0.25298651765004154,,0.25298651765004154,0.25298651765004154,1,0.027833486948766903,,0.027833486948766903,0.027833486948766903,1,0.5294573643410853,,0.5294573643410853,0.5294573643410853,1,0.25088413044213065,,0.25088413044213065,0.25088413044213065,1,0.03781049018944335,,0.03781049018944335,0.03781049018944335,1,0.5059431524547805,,0.5059431524547805,0.5059431524547805,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,4,2,1,full,0.1791215885236487,,0.1791215885236487,0.1791215885236487,1,0.024783479649402095,,0.024783479649402095,0.024783479649402095,1,0.40852713178294575,,0.40852713178294575,0.40852713178294575,1,0.1892806703881792,,0.1892806703881792,0.1892806703881792,1,0.034674125853578396,,0.034674125853578396,0.034674125853578396,1,0.4046511627906977,,0.4046511627906977,0.4046511627906977,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,4,4,1,full,0.18476680826286518,,0.18476680826286518,0.18476680826286518,1,0.023971805980438788,,0.023971805980438788,0.023971805980438788,1,0.3945736434108527,,0.3945736434108527,0.3945736434108527,1,0.1938737952495833,,0.1938737952495833,0.1938737952495833,1,0.03262174648338681,,0.03262174648338681,0.03262174648338681,1,0.3875968992248062,,0.3875968992248062,0.3875968992248062,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,yearly,4,6,1,full,0.18796888567089703,,0.18796888567089703,0.18796888567089703,1,0.026488312777472107,,0.026488312777472107,0.026488312777472107,1,0.4116279069767441,,0.4116279069767441,0.4116279069767441,1,0.19604599777303078,,0.19604599777303078,0.19604599777303078,1,0.03589991863970097,,0.03589991863970097,0.03589991863970097,1,0.40310077519379844,,0.40310077519379844,0.40310077519379844,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,2,2,1,full,0.30359314517256175,,0.30359314517256175,0.30359314517256175,1,0.022034475532243945,,0.022034475532243945,0.022034475532243945,1,0.6108527131782946,,0.6108527131782946,0.6108527131782946,1,0.3041344048135249,,0.3041344048135249,0.3041344048135249,1,0.032022227949876185,,0.032022227949876185,0.032022227949876185,1,0.614470284237726,,0.614470284237726,0.614470284237726,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,2,4,1,full,0.30110134815353884,,0.30110134815353884,0.30110134815353884,1,0.021943765648921785,,0.021943765648921785,0.021943765648921785,1,0.6031007751937985,,0.6031007751937985,0.6031007751937985,1,0.29142283592519563,,0.29142283592519563,0.29142283592519563,1,0.030549017247247515,,0.030549017247247515,0.030549017247247515,1,0.5881136950904393,,0.5881136950904393,0.5881136950904393,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,2,6,1,full,0.3155157376015612,,0.3155157376015612,0.3155157376015612,1,0.022164781437677947,,0.022164781437677947,0.022164781437677947,1,0.6031007751937986,,0.6031007751937986,0.6031007751937986,1,0.30397365566520373,,0.30397365566520373,0.30397365566520373,1,0.031149842992638593,,0.031149842992638593,0.031149842992638593,1,0.5968992248062015,,0.5968992248062015,0.5968992248062015,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,3,2,1,full,0.18567440131479337,,0.18567440131479337,0.18567440131479337,1,0.019851526948865744,,0.019851526948865744,0.019851526948865744,1,0.4279069767441861,,0.4279069767441861,0.4279069767441861,1,0.18897265005228195,,0.18897265005228195,0.18897265005228195,1,0.027644193158479956,,0.027644193158479956,0.027644193158479956,1,0.4263565891472868,,0.4263565891472868,0.4263565891472868,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,3,4,1,full,0.20466539978158818,,0.20466539978158818,0.20466539978158818,1,0.021328100414644422,,0.021328100414644422,0.021328100414644422,1,0.44573643410852715,,0.44573643410852715,0.44573643410852715,1,0.2017517149429486,,0.2017517149429486,0.2017517149429486,1,0.02877757441557912,,0.02877757441557912,0.02877757441557912,1,0.4273901808785529,,0.4273901808785529,0.4273901808785529,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,3,6,1,full,0.20242402241452956,,0.20242402241452956,0.20242402241452956,1,0.021139325788445355,,0.021139325788445355,0.021139325788445355,1,0.4248062015503876,,0.4248062015503876,0.4248062015503876,1,0.20452761864686536,,0.20452761864686536,0.20452761864686536,1,0.02917156197519732,,0.02917156197519732,0.02917156197519732,1,0.4227390180878553,,0.4227390180878553,0.4227390180878553,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,4,2,1,full,0.14681819488704903,,0.14681819488704903,0.14681819488704903,1,0.01897775822688983,,0.01897775822688983,0.01897775822688983,1,0.3317829457364341,,0.3317829457364341,0.3317829457364341,1,0.15796650374484933,,0.15796650374484933,0.15796650374484933,1,0.02597440166495896,,0.02597440166495896,0.02597440166495896,1,0.3348837209302325,,0.3348837209302325,0.3348837209302325,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,4,4,1,full,0.16386406404851175,,0.16386406404851175,0.16386406404851175,1,0.02035770702359742,,0.02035770702359742,0.02035770702359742,1,0.3441860465116279,,0.3441860465116279,0.3441860465116279,1,0.16862088040039802,,0.16862088040039802,0.16862088040039802,1,0.026999779840998175,,0.026999779840998175,0.026999779840998175,1,0.33126614987080105,,0.33126614987080105,0.33126614987080105,1
exp1_pattern_main,pattern_raw_dtw,,,24,yearly,4,6,1,full,0.15586564054349533,,0.15586564054349533,0.15586564054349533,1,0.02051340067757495,,0.02051340067757495,0.02051340067757495,1,0.3341085271317829,,0.3341085271317829,0.3341085271317829,1,0.1636867312267302,,0.1636867312267302,0.1636867312267302,1,0.027641957868912728,,0.027641957868912728,0.027641957868912728,1,0.3322997416020672,,0.3322997416020672,0.3322997416020672,1
