run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15,comparison,approach
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,129,0.6852713178294574,0.02627936132960021,0.34906181696222016,0.6780361757105944,0.03782350936182987,0.3400451175961364,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,129,0.6201550387596899,0.022118080335403252,0.30531001812948344,0.6149870801033591,0.0318062560090627,0.3030072938525487,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,129,0.6108527131782946,0.022034475532243945,0.30359314517256175,0.614470284237726,0.032022227949876185,0.3041344048135249,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,129,0.7333333333333333,0.029451085343443338,0.38642234464052483,0.7297157622739018,0.043035963186017476,0.38692432519806996,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,129,0.6720930232558139,0.025536545120744058,0.34546462856559285,0.6666666666666666,0.036745896037238344,0.34555301226497115,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,36,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,129,0.6674418604651163,0.025199308505805575,0.34456866096330413,0.6563307493540051,0.03619534346480409,0.33631512534655356,,
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,129,0.7015503875968992,0.027135238702659985,0.3463463660314605,0.6956072351421188,0.03911934772812755,0.3414292326266259,,
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_tsfel,129,0.7031007751937985,0.026959692076441263,0.3421390604208896,0.7012919896640827,0.03929261534962243,0.3411357752184115,,
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_dtw,129,0.6031007751937985,0.021943765648921785,0.30110134815353884,0.5881136950904393,0.030549017247247515,0.29142283592519563,,
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,pattern_raw_cosine,129,0.5968992248062015,0.02082206302167764,0.28871587179090535,0.6036175710594316,0.030429107019532088,0.2887257797787122,,
