task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
task1,test,285,285,69251,242.9859649122807,242.0,217,281,2.468614171636511,8188,27334,26818,6911
task2,test,285,285,67334,236.25964912280702,234.0,221,263,2.4189116939436244,6275,31329,24978,4752
task2_L12,test,285,285,67807,237.91929824561404,235.0,219,259,2.4649225006267788,6743,28750,26360,5954
task2_L36,test,285,285,67527,236.93684210526317,234.0,216,268,2.40229833992329,6476,32196,24068,4787
