pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,129,0.437984496124031,0.027870662826718698,0.20226707504820635,0.42015503875968996,0.03768597113705622,0.20821701806020523
12,pattern_raw_cosine,129,0.33953488372093027,0.01963718399651359,0.1579216940914543,0.3281653746770026,0.026118324609468627,0.16256010496897957
12,pattern_raw_dtw,129,0.3488372093023256,0.01926930702516584,0.14864437125411792,0.3400516795865633,0.0259813015011951,0.1605477545217623
24,pattern_tsfel,129,0.40077519379844956,0.024660001665151414,0.18150366058548545,0.4041343669250646,0.034712883587065715,0.19830015118357738
24,pattern_raw_dtw,129,0.3441860465116279,0.02035770702359742,0.16386406404851175,0.33126614987080105,0.026999779840998175,0.16862088040039802
24,pattern_raw_cosine,129,0.32945736434108525,0.01844203418678955,0.1484690536752363,0.3426356589147287,0.02610809335164312,0.16144776530702232
36,pattern_tsfel,129,0.44341085271317826,0.028420006859840044,0.20048143253235431,0.4403100775193799,0.04026035603745252,0.20894524392877686
36,pattern_raw_cosine,129,0.3635658914728682,0.021049039362819426,0.16823520221359567,0.3607235142118863,0.028288262613444876,0.17185488379389835
36,pattern_raw_dtw,129,0.37054263565891477,0.021950349191912567,0.16703813280460336,0.372609819121447,0.030095430078796063,0.175433021514964
