object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M358::pattern0::L36,309.4377659547155,36.320570006379874,0.0,AutoETS,0,1,1,bin_1,bin_1
M359::pattern0::L36,324.5710941598111,15.115012205473512,33.572869477786185,XGB,3,1,0,bin_1,bin_0
M35::pattern0::L36,1167.5472641098177,65.32198611481488,127.0228373637492,AutoARIMA,1,3,2,bin_3,bin_2
M360::pattern0::L36,611.3695372349944,23.92168870347305,27.65714470820626,AutoARIMA,1,2,0,bin_2,bin_0
M361::pattern0::L36,518.5565541430994,50.262871256146575,7.6561279296875,AutoARIMA,1,2,1,bin_2,bin_1
M362::pattern0::L36,184.41786647431726,57.53295814663187,36.18607584635417,AutoARIMA,1,0,2,bin_0,bin_2
M363::pattern0::L36,372.13908956262384,74.04235498173345,106.32625325520831,AutoETS,0,1,2,bin_1,bin_2
M364::pattern0::L36,985.2240843213124,44.89725137862622,24.268310546875,AutoARIMA,1,3,1,bin_3,bin_1
M365::pattern0::L36,469.9708192172572,37.92651767720514,10.911522935658581,LGBM,2,2,1,bin_2,bin_1
M366::pattern0::L36,714.7497166294921,229.19522217522774,21.29254150390625,AutoARIMA,1,2,3,bin_2,bin_3
M367::pattern0::L36,351.27120945814164,8.791462013550131,16.308268229166686,AutoARIMA,1,1,0,bin_1,bin_0
M368::pattern0::L36,297.46500211758473,59.67200308030602,52.517740885416686,AutoETS,0,1,2,bin_1,bin_2
M369::pattern0::L36,324.667932412992,29.866843756422078,62.73939729519702,AutoARIMA,1,1,1,bin_1,bin_1
M36::pattern0::L36,726.9330137930868,23.764130799472692,16.019083167138774,XGB,3,2,0,bin_2,bin_0
M370::pattern0::L36,224.61730585256612,41.388578439617085,8.690592447916657,AutoARIMA,1,1,1,bin_1,bin_1
M371::pattern0::L36,286.3501317642447,9.70748597473977,0.15983072916662877,AutoETS,0,1,0,bin_1,bin_0
M372::pattern0::L36,228.17925877820758,29.483649418786754,13.286138715294783,LGBM,2,1,1,bin_1,bin_1
M373::pattern0::L36,358.7184109425211,37.703656342644074,77.98396809895831,AutoARIMA,1,1,1,bin_1,bin_1
M374::pattern0::L36,277.43916224882065,12.287523177505935,2.0399983723958144,AutoETS,0,1,0,bin_1,bin_0
M375::pattern0::L36,154.6786850469383,19.913931548358867,19.576578776041657,AutoARIMA,1,0,0,bin_0,bin_0
M376::pattern0::L36,538.8618595642614,32.024561518757444,6.605885522670633,XGB,3,2,1,bin_2,bin_1
M377::pattern0::L36,186.8410599357651,9.756018537030112,11.4876708984375,XGB,3,0,0,bin_0,bin_0
M378::pattern0::L36,701.1436451820923,188.12868656015974,41.21903483072913,AutoARIMA,1,2,3,bin_2,bin_3
M379::pattern0::L36,579.811382424499,166.54802233328988,22.760396321614564,AutoARIMA,1,2,3,bin_2,bin_3
M37::pattern0::L36,1231.779268766774,198.99673587513922,37.150665818320704,LGBM,2,3,3,bin_3,bin_3
M380::pattern0::L36,1110.861595290114,29.985743772447982,51.87147067868591,AutoARIMA,1,3,1,bin_3,bin_1
M381::pattern0::L36,874.1945505376536,265.6469275566713,33.42404801214593,LGBM,2,3,3,bin_3,bin_3
M382::pattern0::L36,870.3093656419187,20.910361519544,39.98897298177087,XGB,3,3,0,bin_3,bin_0
M383::pattern0::L36,991.26737503363,60.43697448687508,27.49413918839707,LGBM,2,3,2,bin_3,bin_2
M384::pattern0::L36,521.5981653826539,191.07968442771485,94.75386555989581,AutoETS,0,2,3,bin_2,bin_3
