comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,285,0.39754385964912287,0.011468010360066285,0.18237701848137033,0.384093567251462,0.015244125679930436,0.1782585940421082
cosine,pattern,pattern_raw_cosine,285,0.4154385964912281,0.012202510595171365,0.1706297613216631,0.40023391812865494,0.0168023667017767,0.16730145707774363
dtw,whole-series,raw_dtw,285,0.42105263157894735,0.011708304188085706,0.18792897781312634,0.4028070175438596,0.015566749893438625,0.18262085134987036
dtw,pattern,pattern_raw_dtw,285,0.40842105263157896,0.011787630098070302,0.16522273601780252,0.4025730994152047,0.016394350663039202,0.1654521381116143
tsfel,whole-series,tsfel,285,0.5480701754385965,0.01733850863060922,0.24591501943520733,0.5323976608187135,0.024239088641375348,0.24314491714712563
tsfel,pattern,pattern_tsfel,285,0.5431578947368422,0.017766761577781814,0.2177363719032746,0.5335672514619882,0.025132109605960552,0.2203387803740301
