pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,151,0.5754966887417219,0.027034371813844625,0.27141882278271506,0.5637969094922737,0.037708059047352714,0.27284641549691374
12,pattern_raw_dtw,151,0.433112582781457,0.01734973736209673,0.2089272012956185,0.43796909492273733,0.024081544870779566,0.2121925345743466
12,pattern_raw_cosine,151,0.4298013245033113,0.016812929090944874,0.20363503986927778,0.4233995584988963,0.02304287923706483,0.2046296263861913
24,pattern_tsfel,151,0.5741721854304636,0.026694557486519464,0.26303410380307396,0.5584988962472407,0.03777481255672504,0.26373470673303695
24,pattern_raw_dtw,151,0.45827814569536424,0.01934673632667818,0.21819311097812452,0.44856512141280364,0.026592681819406515,0.217654196636502
24,pattern_raw_cosine,151,0.4423841059602648,0.018605284105950727,0.20744313927110267,0.42693156732891835,0.025051828026728073,0.20370191037597432
36,pattern_tsfel,151,0.5880794701986755,0.028066022949464718,0.2787620485435061,0.5805739514348786,0.03959737918744459,0.27414112769198007
36,pattern_raw_dtw,151,0.47880794701986745,0.020019416003771797,0.22987920653820695,0.4631346578366446,0.027417648588590485,0.22353351674440153
36,pattern_raw_cosine,151,0.46688741721854304,0.01962470296373526,0.2260503580511596,0.4481236203090508,0.026554767451682303,0.21760262979509196
