comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,285,0.6863157894736841,0.011818426849105551,0.34480392302583396,0.6685380116959063,0.016716144175351565,0.3339272671711947
cosine,pattern,pattern_raw_cosine,285,0.6845614035087719,0.012063533535400177,0.32325288842802885,0.6769590643274854,0.017408979115255383,0.3157419973544033
dtw,whole-series,raw_dtw,285,0.6884210526315789,0.011710116142735219,0.3408347839751302,0.68046783625731,0.016715705622850265,0.3363640772509716
dtw,pattern,pattern_raw_dtw,285,0.6870175438596492,0.012114136185516544,0.32362135619145893,0.6814035087719298,0.01748894928481125,0.3182162468371152
tsfel,whole-series,tsfel,285,0.8189473684210525,0.015180716426058111,0.43113206542992494,0.8084210526315788,0.022099917869100975,0.42456601863398435
tsfel,pattern,pattern_tsfel,285,0.8024561403508772,0.015429077116253843,0.39093443930641397,0.7976608187134503,0.022603303084545178,0.3871760037750935
