comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,285,0.4971929824561404,0.011732724259207822,0.23002065051400494,0.47298245614035084,0.01587526697440393,0.2197252022807594
cosine,pattern,pattern_raw_cosine,285,0.507719298245614,0.012061059549331642,0.22414852076039857,0.5029239766081871,0.017084795472121005,0.2211938097458124
dtw,whole-series,raw_dtw,285,0.5164912280701754,0.011949384817491627,0.23731047982418685,0.49099415204678365,0.016165609565627154,0.22945465425123485
dtw,pattern,pattern_raw_dtw,285,0.5129824561403509,0.012134691825692023,0.22432731378399726,0.504093567251462,0.01704311908380857,0.2224566600510136
tsfel,whole-series,tsfel,285,0.6210526315789474,0.015516771813014396,0.291915180934758,0.6035087719298246,0.021862822780917033,0.28723086379838514
tsfel,pattern,pattern_tsfel,285,0.6147368421052631,0.015640184135208575,0.2757482186498708,0.6107602339181286,0.022585499128172894,0.2751213821995215
