comparison,approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
cosine,whole-series,raw_cosine,129,0.6131782945736435,0.021571582951100343,0.29671995437468496,0.6036175710594315,0.03063834177772717,0.2921467988546939
cosine,pattern,pattern_raw_cosine,129,0.5968992248062015,0.02082206302167764,0.28871587179090535,0.6036175710594316,0.030429107019532088,0.2887257797787122
dtw,whole-series,raw_dtw,129,0.641860465116279,0.023519373524628368,0.3084745271801441,0.6304909560723514,0.03324255413353895,0.305721366673425
dtw,pattern,pattern_raw_dtw,129,0.6031007751937985,0.021943765648921785,0.30110134815353884,0.5881136950904393,0.030549017247247515,0.29142283592519563
tsfel,whole-series,tsfel,129,0.7449612403100776,0.030117402054441623,0.37000119944495274,0.7302325581395349,0.04317196439613075,0.36260155941564376
tsfel,pattern,pattern_tsfel,129,0.7031007751937985,0.026959692076441263,0.3421390604208896,0.7012919896640827,0.03929261534962243,0.3411357752184115
