approach,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
random,random,129,0.5589147286821705,0.017759724267928205,0.24733929415558775,0.5596899224806201,0.025537052764922897,0.250161479980874
best_content_baseline,pattern_raw_cosine+pattern_tsfel,129,0.7015503875968992,0.027135238702659985,0.3463463660314605,0.6956072351421188,0.03911934772812755,0.3414292326266259
