run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task2_L36,test,285,285,90869,318.8385964912281,313.0,302,347,2.4502195468201475,9464,38771,34893,7741
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task1,test,285,285,93560,328.280701754386,332.0,291,377,2.517154766994442,12142,32151,38007,11260
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2,test,285,285,91151,319.8280701754386,318.0,299,353,2.47526631633224,9752,36613,36499,8287
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2_L12,test,285,285,90943,319.0982456140351,312.0,290,345,2.5405253840317563,9526,32641,38869,9907
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2_L36,test,285,285,91100,319.64912280701753,315.0,296,356,2.4662568605927553,9692,37544,35560,8304
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task1,test,285,285,68843,241.55438596491229,239.0,217,288,2.475574858736546,7778,27470,26672,6923
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2,test,285,285,67403,236.50175438596492,232.0,221,274,2.4592228832544545,6343,29390,26044,5626
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2_L12,test,285,285,67807,237.91929824561404,235.0,219,259,2.4649225006267788,6743,28750,26360,5954
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2_L36,test,285,285,67111,235.47719298245613,232.0,221,261,2.4408517232644424,6044,30647,25210,5210
freqmonthly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,6,42,1,full,task1,test,285,285,69151,242.63508771929824,242.0,216,278,2.467267284637966,8081,27188,27371,6511
freqmonthly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,6,42,1,full,task2,test,285,285,67334,236.25964912280705,234.0,221,263,2.4189116939436244,6275,31329,24978,4752
freqmonthly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,6,42,1,full,task2_L12,test,285,285,67807,237.91929824561404,235.0,219,259,2.4649225006267788,6743,28750,26360,5954
freqmonthly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,6,42,1,full,task2_L36,test,285,285,67314,236.18947368421053,236.0,215,254,2.4060819443206465,6266,32148,24199,4701
freqmonthly__bins4__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,12,42,1,full,task1,test,285,285,69251,242.9859649122807,242.0,217,281,2.468614171636511,8188,27334,26818,6911
freqmonthly__bins4__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,12,42,1,full,task2,test,285,285,67334,236.25964912280705,234.0,221,263,2.4189116939436244,6275,31329,24978,4752
freqmonthly__bins4__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,12,42,1,full,task2_L12,test,285,285,67807,237.91929824561404,235.0,219,259,2.4649225006267788,6743,28750,26360,5954
freqmonthly__bins4__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,12,42,1,full,task2_L36,test,285,285,67527,236.93684210526317,234.0,216,268,2.40229833992329,6476,32196,24068,4787
