experiment,system,comparison,approach,pattern_len,frequency,qrels_n_bins,forecast_h,patterns_per_series,regime_definition,ndcg@10_mean,ndcg@10_std,ndcg@10_min,ndcg@10_max,ndcg@10_count,ap@10_mean,ap@10_std,ap@10_min,ap@10_max,ap@10_count,p@10_mean,p@10_std,p@10_min,p@10_max,p@10_count,ndcg@15_mean,ndcg@15_std,ndcg@15_min,ndcg@15_max,ndcg@15_count,ap@15_mean,ap@15_std,ap@15_min,ap@15_max,ap@15_count,p@15_mean,p@15_std,p@15_min,p@15_max,p@15_count
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,2,3,1,full,0.3291958864361846,,0.3291958864361846,0.3291958864361846,1,0.012200835914432934,,0.012200835914432934,0.012200835914432934,1,0.6919298245614036,,0.6919298245614036,0.6919298245614036,1,0.3216181776238834,,0.3216181776238834,0.3216181776238834,1,0.017485818253184692,,0.017485818253184692,0.017485818253184692,1,0.6792982456140351,,0.6792982456140351,0.6792982456140351,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,2,6,1,full,0.32325288842802885,,0.32325288842802885,0.32325288842802885,1,0.012063533535400177,,0.012063533535400177,0.012063533535400177,1,0.6845614035087719,,0.6845614035087719,0.6845614035087719,1,0.3157419973544033,,0.3157419973544033,0.3157419973544033,1,0.017408979115255383,,0.017408979115255383,0.017408979115255383,1,0.6769590643274854,,0.6769590643274854,0.6769590643274854,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,2,12,1,full,0.32325288842802885,,0.32325288842802885,0.32325288842802885,1,0.012063533535400177,,0.012063533535400177,0.012063533535400177,1,0.6845614035087719,,0.6845614035087719,0.6845614035087719,1,0.3157419973544033,,0.3157419973544033,0.3157419973544033,1,0.017408979115255383,,0.017408979115255383,0.017408979115255383,1,0.6769590643274854,,0.6769590643274854,0.6769590643274854,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,3,3,1,full,0.22414852076039857,,0.22414852076039857,0.22414852076039857,1,0.012061059549331642,,0.012061059549331642,0.012061059549331642,1,0.507719298245614,,0.507719298245614,0.507719298245614,1,0.2211938097458124,,0.2211938097458124,0.2211938097458124,1,0.017084795472121005,,0.017084795472121005,0.017084795472121005,1,0.5029239766081871,,0.5029239766081871,0.5029239766081871,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,3,6,1,full,0.21298431937395387,,0.21298431937395387,0.21298431937395387,1,0.012219747049524997,,0.012219747049524997,0.012219747049524997,1,0.5210526315789473,,0.5210526315789473,0.5210526315789473,1,0.2093752190196587,,0.2093752190196587,0.2093752190196587,1,0.01710342088123676,,0.01710342088123676,0.01710342088123676,1,0.5054970760233918,,0.5054970760233918,0.5054970760233918,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,3,12,1,full,0.21298431937395387,,0.21298431937395387,0.21298431937395387,1,0.012219747049524997,,0.012219747049524997,0.012219747049524997,1,0.5210526315789473,,0.5210526315789473,0.5210526315789473,1,0.2093752190196587,,0.2093752190196587,0.2093752190196587,1,0.01710342088123676,,0.01710342088123676,0.01710342088123676,1,0.5054970760233918,,0.5054970760233918,0.5054970760233918,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,4,3,1,full,0.16983855557640984,,0.16983855557640984,0.16983855557640984,1,0.011826546846959402,,0.011826546846959402,0.011826546846959402,1,0.40210526315789474,,0.40210526315789474,0.40210526315789474,1,0.16872441681518408,,0.16872441681518408,0.16872441681518408,1,0.01613635234895057,,0.01613635234895057,0.01613635234895057,1,0.3892397660818714,,0.3892397660818714,0.3892397660818714,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,4,6,1,full,0.1706297613216631,,0.1706297613216631,0.1706297613216631,1,0.012202510595171365,,0.012202510595171365,0.012202510595171365,1,0.4154385964912281,,0.4154385964912281,0.4154385964912281,1,0.16730145707774363,,0.16730145707774363,0.16730145707774363,1,0.0168023667017767,,0.0168023667017767,0.0168023667017767,1,0.40023391812865494,,0.40023391812865494,0.40023391812865494,1
exp1_pattern_main,pattern_raw_cosine,,,24,monthly,4,12,1,full,0.1706297613216631,,0.1706297613216631,0.1706297613216631,1,0.012202510595171365,,0.012202510595171365,0.012202510595171365,1,0.4154385964912281,,0.4154385964912281,0.4154385964912281,1,0.16730145707774363,,0.16730145707774363,0.16730145707774363,1,0.0168023667017767,,0.0168023667017767,0.0168023667017767,1,0.40023391812865494,,0.40023391812865494,0.40023391812865494,1
exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,,,24,monthly,2,3,1,full,0.39692925669403184,,0.39692925669403184,0.39692925669403184,1,0.015119823518772899,,0.015119823518772899,0.015119823518772899,1,0.7950877192982457,,0.7950877192982457,0.7950877192982457,1,0.39202010182772523,,0.39202010182772523,0.39202010182772523,1,0.022066981156476477,,0.022066981156476477,0.022066981156476477,1,0.7887719298245615,,0.7887719298245615,0.7887719298245615,1
