run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,pattern_raw_cosine,ndcg@15,285,0.3216181776238834,0.1618948818980514,0.3030672305977949,0.3402453977023045,0.6919298245614036,0.0122008359144329,0.3216181776238834,0.6792982456140351,0.0174858182531846
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,285,0.3920201018277252,0.1683234420289905,0.3727547555485027,0.4095182455336992,0.7950877192982457,0.0151198235187728,0.3920201018277252,0.7887719298245615,0.0220669811564764
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,pattern_raw_dtw,ndcg@15,285,0.3231657992127793,0.1574445111640713,0.3057429791898858,0.3409164163172944,0.6814035087719298,0.0117383352876428,0.3231657992127793,0.6783625730994152,0.0170360729932792
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,pattern_tsfel,ndcg@15,285,0.3950354303672544,0.1639841785466633,0.3763819266345722,0.4130830640657901,0.8080701754385965,0.0152199340905682,0.3950354303672544,0.7992982456140352,0.0223132562760014
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,random,ndcg@15,285,0.2350735016047745,0.0932351964739593,0.2246031374600623,0.2466072408720432,0.552280701754386,0.0077756768778048,0.2350735016047745,0.5567251461988304,0.0112487342069042
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,random,ndcg@10,285,0.2463829593308275,0.1095009250793722,0.2338694321247831,0.2589479830289524,0.5796491228070175,0.0081194665440253,0.244079605043531,0.5719298245614035,0.011565263925122
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,raw_cosine,ndcg@10,285,0.3419679698399843,0.1790296710311428,0.322007952085506,0.3630125260416832,0.6891228070175439,0.0118988366165411,0.3305376461652698,0.6706432748538012,0.0168409657143034
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,raw_dtw,ndcg@10,285,0.3494566778814988,0.1784887221413006,0.3284635234096481,0.3702624413086248,0.7,0.0118118547134317,0.3397633884561455,0.6837426900584795,0.016823754352842
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,raw_dtw+tsfel,ndcg@10,285,0.432257952037639,0.1920466782141472,0.410970557755805,0.4550213626118922,0.8003508771929825,0.0147682518274268,0.4205003037087177,0.7897076023391814,0.0214186966078622
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,tsfel,ndcg@10,285,0.4273585817936545,0.183950157353984,0.4059470543746381,0.4499947269816668,0.7992982456140352,0.0148207131702172,0.4173028537294564,0.7894736842105263,0.0215660700324008
